group,variable,n_cases,statistic,value
primary_waveform_cohort,age,2435,mean,61.205338809034906
primary_waveform_cohort,sex_male,2435,proportion,0.588911704312115
primary_waveform_cohort,asa_num,2435,mean,1.9446540880503145
primary_waveform_cohort,emergency,2435,proportion,0.10718685831622177
primary_waveform_cohort,department_general_surgery,2435,proportion,0.5983572895277207
primary_waveform_cohort,duration_min,2435,mean,251.50636550309375
primary_waveform_cohort,true_auc,2435,mean,107.6886379192334
primary_waveform_cohort,episode_count,2435,mean,3.7728952772073923
primary_waveform_cohort,paired_events,2435,median,0.0
nibp_mechanism_subset,age,365,mean,61.52602739726027
nibp_mechanism_subset,sex_male,365,proportion,0.6136986301369863
nibp_mechanism_subset,asa_num,365,mean,1.953168044077135
nibp_mechanism_subset,emergency,365,proportion,0.0958904109589041
nibp_mechanism_subset,department_general_surgery,365,proportion,0.6054794520547945
nibp_mechanism_subset,duration_min,365,mean,253.26849315059363
nibp_mechanism_subset,true_auc,365,mean,113.8755707762557
nibp_mechanism_subset,episode_count,365,mean,3.7534246575342465
nibp_mechanism_subset,paired_events,365,median,28.0
paired_agreement_cases,age,347,mean,61.461095100864554
paired_agreement_cases,sex_male,347,proportion,0.622478386167147
paired_agreement_cases,asa_num,347,mean,1.953757225433526
paired_agreement_cases,emergency,347,proportion,0.09798270893371758
paired_agreement_cases,department_general_surgery,347,proportion,0.6167146974063401
paired_agreement_cases,duration_min,347,mean,255.028818443708
paired_agreement_cases,true_auc,347,mean,116.63832853025937
paired_agreement_cases,episode_count,347,mean,3.8126801152737753
paired_agreement_cases,paired_events,347,median,29.0
mechanism_without_paired_agreement,age,18,mean,62.77777777777778
mechanism_without_paired_agreement,sex_male,18,proportion,0.4444444444444444
mechanism_without_paired_agreement,asa_num,18,mean,1.9411764705882353
mechanism_without_paired_agreement,emergency,18,proportion,0.05555555555555555
mechanism_without_paired_agreement,department_general_surgery,18,proportion,0.3888888888888889
mechanism_without_paired_agreement,duration_min,18,mean,219.33333333333334
mechanism_without_paired_agreement,true_auc,18,mean,60.61574074074073
mechanism_without_paired_agreement,episode_count,18,mean,2.611111111111111
mechanism_without_paired_agreement,paired_events,18,median,0.0
